CowTimeLoc,Sequencing.File.Name,Bacterial.Sequencing.Run.Name,Bacterial.Sequencing.Run.Sample.Number,Cow,GWAS_Timepoint,Location,Sample.Type,Swab_Rumen,Project,Timecourse_Time,Timecourse_Location,Timepoint_Code,Tube.Color,RFID,ID,FARM,SAMPLING,dateSampling,dateTrial1,DMI_1,milkE_1,mBW_1,dBW_1,dim_1,rfi_1,dateTrial2,DMI_2,milkE_2,mBW_2,dBW_2,dim_2,rfi_2,dateTrial3,DMI_3,milkE_3,mBW_3,dBW_3,dim_3,rfi_3,PEN,PARITY,DIM,REGID,parity.group,SampleType_Parity,RFID.2,genotype,PictureNumber,Darkness,Milk7d,X305ME,BV_ME305,BV_M305,dateTrial_recent,DMI_recent,milkE_recent,mBW_recent,dBW_recent,dim_recent,rfi_recent,GFE,Predicted_DMI,DMI_Difference
8296_1_ARS,Swab1-132,Swab1,132,8296,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074262897,8296,ARS,1,2019-10-15,2018-09-17,25.1,30.5,132,1.9,93,-1.5,2019-08-26,27.5,33.5,132.5,0.2,72,-1.3,NA,NA,NA,NA,NA,NA,NA,18,3,97,840003132565383,Multi,Swab_Multi,HOUSA000074262897,4262897,58,0.535016078,113,28430,33434,29851,2019-08-26,27.5,33.5,132.5, 0.2, 72,-1.3,1.2222222,29.05676,-2.0567606
8253_1_ARS,Swab1-133,Swab1,133,8253,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074262854,8253,ARS,1,2019-10-15,2020-01-13,30.6,35.2,131.6,-1.8,112,-0.8,2021-02-15,28.1,34.9,133.8,-0.3,144,-0.7,NA,NA,NA,NA,NA,NA,NA,18,3,19,840003132565340,Multi,Swab_Multi,HOUSA000074262854,4262854,40,0.412600784,NA,NA,NA,NA,2020-01-13,30.6,35.2,131.6,-1.8,112,-0.8,1.1666667,30.32111,-0.3211056
8597_1_ARS,Swab1-135,Swab1,135,8597,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074263198,8597,ARS,1,2019-10-15,2019-08-26,25,28.7,125,-0.3,99,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,128,840003132565684,Second,Swab_Second,HOUSA000074263198,4263198,5,0.437936078,86.4,28200,32981,27950,2019-08-26,25.0,28.7,125.0,-0.3, 99,-1.9,1.1200000,25.89590,-0.8958981
8553_1_ARS,Swab1-139,Swab1,139,8553,1,ARS,Swab,Swab,GWAS,NA,,1,0,HOUSA000074263154,8553,ARS,1,2019-10-15,2018-07-09,23.6,28.4,122.3,-0.5,91,-0.9,2019-08-26,30.9,39,134.4,0.4,112,-0.6,NA,NA,NA,NA,NA,NA,NA,36,2,141,840003132565640,Second,Swab_Second,HOUSA000074263154,4263154,4,0.482134118,120,33820,37212,32930,2019-08-26,30.9,39.0,134.4, 0.4,112,-0.6,1.3000000,32.84980,-2.8497956
8486_1_ARS,Swab1-152,Swab1,152,8486,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263087,8486,ARS,1,2019-10-15,2019-08-26,30.6,36.1,134.4,0.5,95,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,124,840003132565573,Second,Swab_Second,HOUSA000074263087,4263087,351,0.401478824,107,28100,32616,29922,2019-08-26,30.6,36.1,134.4, 0.5, 95, 0.2,1.2000000,30.95328,-0.9532781
8887_1_ARS,Swab1-165,Swab1,165,8887,1,ARS,Swab,Swab,GWAS,NA,,1,2,HO840003141990632,8887,ARS,1,2019-10-15,2019-08-26,22.9,23.7,127.8,-0.5,173,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,202,840003141990632,Second,Swab_Second,HO840003141990632,1990632,336,0.425310588,76.8,30440,30517,22945,2019-08-26,22.9,23.7,127.8,-0.5,173,-1.9,1.0454545,22.73504,-0.7350356
8560_1_ARS,Swab1-194,Swab1,194,8560,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263161,8560,ARS,1,2019-10-15,2018-07-09,23.7,25.9,124,-1,97,-0.2,2019-08-26,29.5,34.9,137.1,-0.8,122,-1.1,NA,NA,NA,NA,NA,NA,NA,36,3,151,840003132565647,Multi,Swab_Multi,HOUSA000074263161,4263161,28,0.385177647,106,35300,36765,33422,2019-08-26,29.5,34.9,137.1,-0.8,122,-1.1,1.1724138,29.68893,-0.6889331
8196_1_ARS,Swab1-197,Swab1,197,8196,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262797,8196,ARS,1,2019-10-15,2019-08-26,30.3,34.2,141.2,1.5,139,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,168,840003132565283,Multi,Swab_Multi,HOUSA000074262797,4262797,47,0.355364314,110,30850,31077,29881,2019-08-26,30.3,34.2,141.2, 1.5,139,-0.7,1.1333333,29.68893, 0.3110669
8584_1_ARS,Swab1-205,Swab1,205,8584,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263185,8584,ARS,1,2019-10-15,2019-08-26,28.5,30.4,132,1.4,135,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,164,840003132565671,Second,Swab_Second,HOUSA000074263185,4263185,49,0.359779216,89.9,27780,31007,26730,2019-08-26,28.5,30.4,132.0, 1.4,135,-0.1,1.0714286,27.16024, 0.8397569
8540_1_ARS,Swab1-207,Swab1,207,8540,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263141,8540,ARS,1,2019-10-15,2019-08-26,30.6,29.7,142.9,-0.5,155,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,184,840003132565627,Second,Swab_Second,HOUSA000074263141,4263141,13,0.389006275,108,29580,32144,27951,2019-08-26,30.6,29.7,142.9,-0.5,155, 0.9,0.9666667,26.52807, 3.4719294
8548_1_ARS,Swab1-211,Swab1,211,8548,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263149,8548,ARS,1,2019-10-15,2018-07-09,25.5,31.3,119.1,0.3,105,0.2,2019-08-26,32.2,34.8,132,1.7,132,2.2,NA,NA,NA,NA,NA,NA,NA,36,3,161,840003132565635,Multi,Swab_Multi,HOUSA000074263149,4263149,14,0.404935686,99.7,29960,31605,28732,2019-08-26,32.2,34.8,132.0, 1.7,132, 2.2,1.0625000,29.68893, 2.3110669
8494_1_ARS,Swab1-216,Swab1,216,8494,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263095,8494,ARS,1,2019-10-15,2019-08-26,30.5,35.6,139,1.3,128,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,157,840003132565581,Second,Swab_Second,HOUSA000074263095,4263095,70,0.378396078,111,32220,34468,31334,2019-08-26,30.5,35.6,139.0, 1.3,128,-0.5,1.1666667,30.32111,-0.3211056
8512_1_ARS,Swab1-221,Swab1,221,8512,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074263113,8512,ARS,1,2019-10-15,2019-08-26,36.1,39.2,141.8,3.5,135,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,164,840003132565599,Second,Swab_Second,HOUSA000074263113,4263113,53,0.501063529,113,33650,35011,31541,2019-08-26,36.1,39.2,141.8, 3.5,135, 3.5,1.0833333,32.84980, 3.1502044
8558_1_ARS,Swab1-222,Swab1,222,8558,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263159,8558,ARS,1,2019-10-15,2018-07-09,24.2,22.6,128.2,0.6,107,0.6,2019-08-26,27.7,30.3,141.9,0.6,133,-2.1,NA,NA,NA,NA,NA,NA,NA,36,3,162,840003132565645,Multi,Swab_Multi,HOUSA000074263159,4263159,35,0.383066667,89.8,28520,30926,27861,2019-08-26,27.7,30.3,141.9, 0.6,133,-2.1,1.1111111,27.16024,-0.1602431
8667_1_ARS,Swab1-224,Swab1,224,8667,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263268,8667,ARS,1,2019-10-15,2020-01-13,27.8,31.2,127,-1.1,165,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,54,982000372940015,Second,Swab_Second,HOUSA000074263268,4263268,361,0.384853333,122,32560,40197,33778,2020-01-13,27.8,31.2,127.0,-1.1,165,-2.0,1.1481481,27.79242,-0.7924156
8254_1_ARS,Swab1-226,Swab1,226,8254,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262855,8254,ARS,1,2019-10-15,2019-02-04,28.8,32.4,143.8,-1,168,-1,2020-01-13,32.8,34.3,146,-2.3,167,-0.2,NA,NA,NA,NA,NA,NA,NA,18,3,31,840003132565341,Multi,Swab_Multi,HOUSA000074262855,4262855,365,0.373069412,117,25340,31465,29683,2020-01-13,32.8,34.3,146.0,-2.3,167,-0.2,1.0625000,29.68893, 2.3110669
8319_1_ARS,Swab1-229,Swab1,229,8319,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074262920,8319,ARS,1,2019-10-15,2017-11-13,21.9,28.8,112.5,1.4,114,-0.6,2020-01-13,29.7,30.8,129.7,-0.8,88,0.2,NA,NA,NA,NA,NA,NA,NA,18,3,15,840003132565406,Multi,Swab_Multi,HOUSA000074262920,4262920,371,0.445794118,NA,NA,NA,NA,2020-01-13,29.7,30.8,129.7,-0.8, 88, 0.2,1.0344828,27.16024, 1.8397569
8679_1_ARS,Swab1-232,Swab1,232,8679,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074263280,8679,ARS,1,2019-10-15,2020-01-13,29.5,32.7,134.8,-2.5,121,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,10,982000372940027,Second,Swab_Second,HOUSA000074263280,4263280,377,0.429791373,NA,NA,NA,NA,2020-01-13,29.5,32.7,134.8,-2.5,121,-1.5,1.1034483,28.42459, 0.5754119
8582_1_ARS,Swab1-236,Swab1,236,8582,1,ARS,Swab,Swab,GWAS,NA,,1,3,HOUSA000074263183,8582,ARS,1,2019-10-15,2019-08-26,30.2,35.1,126.6,1.1,87,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,116,840003132565669,Second,Swab_Second,HOUSA000074263183,4263183,385,0.731248235,120,35230,40391,34522,2019-08-26,30.2,35.1,126.6, 1.1, 87, 1.2,1.1666667,30.32111,-0.3211056
8661_1_ARS,Swab1-252,Swab1,252,8661,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074263262,8661,ARS,1,2019-10-15,2020-01-13,30.3,26.6,146.1,-0.1,169,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,58,982000372940009,Second,Swab_Second,HOUSA000074263262,4263262,392,0.439397255,98.7,26710,32064,26944,2020-01-13,30.3,26.6,146.1,-0.1,169,-0.2,0.8666667,24.63155, 5.3684469
8464_1_ARS,Swab2-110,Swab2,110,8464,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263065,8464,ARS,1,2019-10-15,2019-08-26,32.7,35.6,144.5,-1.1,137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,3,166,840003132565551,Multi,Swab_Multi,HOUSA000074263065,4263065,264,0.401628235,120,34350,35431,32806,2019-08-26,32.7,35.6,144.5,-1.1,137, 1.0,1.0937500,30.32111, 1.6788944
8600_1_ARS,Swab2-111,Swab2,111,8600,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263201,8600,ARS,1,2019-10-15,2018-09-17,23.7,28,136.5,2.9,107,-1.7,2019-08-26,30.8,36.7,143.1,2.3,96,-0.8,NA,NA,NA,NA,NA,NA,NA,18,2,125,840003132565687,Second,Swab_Second,HOUSA000074263201,4263201,255,0.451888235,108,31260,34910,29584,2019-08-26,30.8,36.7,143.1, 2.3, 96,-0.8,1.2000000,30.95328,-0.9532781
8184_1_ARS,Swab2-116,Swab2,116,8184,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262785,8184,ARS,1,2019-10-15,2018-09-17,29.4,34.6,150.3,2,140,-1,2019-08-26,29,20.6,169.2,2.1,88,-0.4,NA,NA,NA,NA,NA,NA,NA,18,3,117,74262785,Multi,Swab_Multi,HOUSA000074262785,4262785,263,0.364181176,60.1,16290,21122,19740,2019-08-26,29.0,20.6,169.2, 2.1, 88,-0.4,0.6896552,20.83852, 8.1614819
8180_1_ARS,Swab2-124,Swab2,124,8180,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262781,8180,ARS,1,2019-10-15,2020-01-13,29.5,29,141.4,-1,112,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,58,840003132565267,Multi,Swab_Multi,HOUSA000074262781,4262781,246,0.375308235,90.1,22590,27293,25993,2020-01-13,29.5,29.0,141.4,-1.0,112,-1.1,1.0000000,26.52807, 2.4719294
8606_1_ARS,Swab2-151,Swab2,151,8606,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263207,8606,ARS,1,2019-10-15,2020-01-13,28.8,29.8,135.3,-1,165,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,54,840003132565693,Second,Swab_Second,HOUSA000074263207,4263207,144,0.389083137,89.8,24240,30748,27210,2020-01-13,28.8,29.8,135.3,-1.0,165,-1.5,1.0357143,26.52807, 1.4719294
8629_1_ARS,Swab2-155,Swab2,155,8629,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263230,8629,ARS,1,2019-10-15,2020-01-13,29.6,36.6,135.9,-1.4,158,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,47,840003132565716,Second,Swab_Second,HOUSA000074263230,4263230,108,0.383995686,125,32400,39501,34348,2020-01-13,29.6,36.6,135.9,-1.4,158,-2.9,1.2413793,30.95328,-1.9532781
8664_1_ARS,Swab2-160,Swab2,160,8664,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074263265,8664,ARS,1,2019-10-15,2020-01-13,32.4,38.1,137.7,-1,158,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,47,982000372940012,Second,Swab_Second,HOUSA000074263265,4263265,136,0.447737647,143,33360,40703,34204,2020-01-13,32.4,38.1,137.7,-1.0,158,-0.8,1.1875000,32.21762,-0.2176231
8217_1_ARS,Swab2-162,Swab2,162,8217,1,ARS,Swab,Swab,GWAS,NA,,1,3,HOUSA000074262818,8217,ARS,1,2019-10-15,2018-09-17,31.5,37.6,137.1,2.9,116,1.7,2019-08-26,35.1,41.8,143.1,0.1,98,1.9,2021-02-15,30.5,34.7,151.6,0.5,168,-0.3,11,3,127,840003132565304,Multi,Swab_Multi,HOUSA000074262818,4262818,118,0.735327451,137,36150,38795,35268,2019-08-26,35.1,41.8,143.1, 0.1, 98, 1.9,1.1714286,34.11414, 0.8858594
8588_1_ARS,Swab2-165,Swab2,165,8588,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263189,8588,ARS,1,2019-10-15,2018-09-17,24.1,27,124.6,1.3,122,0.3,2019-08-26,29.9,33.1,126.9,1.4,106,1.2,NA,NA,NA,NA,NA,NA,NA,18,2,135,840003132565675,Second,Swab_Second,HOUSA000074263189,4263189,91,0.395591373,111,33010,34856,30309,2019-08-26,29.9,33.1,126.9, 1.4,106, 1.2,1.1379310,29.05676,-0.0567606
8699_1_ARS,Swab2-167,Swab2,167,8699,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074263300,8699,ARS,1,2019-10-15,2020-01-13,30.7,36.6,128.5,-0.6,128,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,17,982000372940047,Second,Swab_Second,HOUSA000074263300,4263300,146,0.422253333,NA,NA,NA,NA,2020-01-13,30.7,36.6,128.5,-0.6,128,-0.9,1.2000000,30.95328,-0.9532781
8690_1_ARS,Swab2-170,Swab2,170,8690,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263291,8690,ARS,1,2019-10-15,2020-01-13,31.1,36.3,121.9,-2.3,121,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,10,982000372940038,Second,Swab_Second,HOUSA000074263291,4263291,119,0.397774118,NA,NA,NA,NA,2020-01-13,31.1,36.3,121.9,-2.3,121, 0.5,1.1612903,30.95328, 0.0467219
8568_1_ARS,Swab2-173,Swab2,173,8568,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263169,8568,ARS,1,2019-10-15,2020-01-13,27.8,32,122,-1,175,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,64,840003132565655,Second,Swab_Second,HOUSA000074263169,4263169,92,0.399637255,124,29550,36072,32207,2020-01-13,27.8,32.0,122.0,-1.0,175,-1.7,1.1851852,28.42459,-1.4245881
8314_1_ARS,Swab2-24,Swab2,24,8314,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074262915,8314,ARS,1,2019-10-15,2020-01-13,28.8,31.3,136.1,-2.2,142,-2.1,2021-02-15,26.7,33,139.5,1,164,-1.5,NA,NA,NA,NA,NA,NA,NA,18,3,37,840003132565401,Multi,Swab_Multi,HOUSA000074262915,4262915,86,0.39105451,108,26270,33546,31351,2020-01-13,28.8,31.3,136.1,-2.2,142,-2.1,1.1071429,27.79242, 0.2075844
8675_1_ARS,Swab2-25,Swab2,25,8675,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263276,8675,ARS,1,2019-10-15,2020-01-13,29.4,28.9,137.1,-1.6,130,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,19,982000372940023,Second,Swab_Second,HOUSA000074263276,4263276,77,0.400218824,NA,NA,NA,NA,2020-01-13,29.4,28.9,137.1,-1.6,130,-0.7,0.9655172,25.89590, 3.1041019
8265_1_ARS,Swab2-38,Swab2,38,8265,1,ARS,Swab,Swab,GWAS,NA,,1,3,HOUSA000074262866,8265,ARS,1,2019-10-15,2017-08-14,23.8,30.8,117.7,-0.2,86,-0.1,2019-08-26,30.6,31.4,132.3,-2.4,122,1.7,NA,NA,NA,NA,NA,NA,NA,36,3,151,840003132565352,Multi,Swab_Multi,HOUSA000074262866,4262866,279,0.665943137,91.9,29830,31796,28905,2019-08-26,30.6,31.4,132.3,-2.4,122, 1.7,1.0333333,27.79242, 2.2075844
8428_1_ARS,Swab2-54,Swab2,54,8428,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263029,8428,ARS,1,2019-10-15,2019-08-26,32.2,36.7,133.9,0.4,167,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,196,840003132565515,Second,Swab_Second,HOUSA000074263029,4263029,178,0.451407451,125,38600,37030,34286,2019-08-26,32.2,36.7,133.9, 0.4,167, 1.3,1.1250000,30.95328, 1.0467219
8652_1_ARS,Swab2-82,Swab2,82,8652,1,ARS,Swab,Swab,GWAS,NA,,1,1,HOUSA000074263253,8652,ARS,1,2019-10-15,2020-01-13,29.8,33.1,127.8,0.6,116,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,5,982000372939677,Second,Swab_Second,HOUSA000074263253,4263253,280,0.380350588,NA,NA,NA,NA,2020-01-13,29.8,33.1,127.8, 0.6,116,-0.6,1.1379310,29.05676,-0.0567606
8325_1_ARS,Swab2-83,Swab2,83,8325,1,ARS,Swab,Swab,GWAS,NA,,1,2,HOUSA000074262926,8325,ARS,1,2019-10-15,2019-02-04,29.1,24.1,146,2.5,162,1.6,2020-01-13,31.2,23.7,152.9,-0.3,126,0.8,NA,NA,NA,NA,NA,NA,NA,8,3,41,840003132565412,Multi,Swab_Multi,HOUSA000074262926,4262926,271,0.655883922,137,30890,36469,34082,2020-01-13,31.2,23.7,152.9,-0.3,126, 0.8,0.7419355,22.73504, 8.2649644
8457_1_ARS,Swab3-1,Swab3,1,8457,1,ARS,Swab,Swab,GWAS,NA,,1,NA,HOUSA000074263058,8457,ARS,1,2019-10-15,2019-08-26,28.2,36.7,132.7,-0.7,110,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,139,840003132565544,Second,Swab_Second,HOUSA000074263058,4263058,407,0.418450196,110,31700,34144,31324,2019-08-26,28.2,36.7,132.7,-0.7,110,-2.2,1.2857143,30.95328,-2.9532781
